Work status,No.,Site,Description,Looted or Salvaged,Surveyed or Excavated,Timbers Recorded,Hull Remains Published,Status,Lost E,Lost L,Dated,Lost - Country,Latitude1,Longitude1,Latitude2,Longitude2,,
,1,Uluburun,Keel and some strakes both sides,N,Y,Y,Y,Recovered and conserved.,-1300,-1300,Set of findings/ Dendro,Turkey," 36° 7'51.15""N"," 29°40'58.54""E",,,,
,2,Cape Gelidonya,Just one tenon.,N,Y,Y,Y,Recovered and conserved.,-1200,-1200,Set of findings,Turkey," 36°12'24.72""N"," 30°24'15.38""E",,,,
,3,Zambratija,Seven hull strakes and three frame reported,N,Y,Y,Y,Unknown,-1100,-900,C14,Croatia," 45°28'21.26""N"," 13°30'36.35""E",,,,
,4,Mazarron 1,Keel and some strakes both sides,N,Y,Y,Y,Recovered and conserved.Exposed in ARQUA Museum (Cartagena),-620,-580,Comparison Mazarron 2,Spain,"37°33'33.7""N ","1°16'09.6""W",,,,
,5,Mazarron 2,Complete boat,N,Y,N,Y,Buried with sand. Protection cage ,-620,-580,Trayamar 1 amphora,Spain,"37°33'34.3""N ","1°16'04.7""W",,,,
,6,Giglio A,Sternpost and some strakes both sides,Y,Y ,Y,Y,Unknown,-580,-550,,Italy,"42°22'05.9""N ","10°52'37.5""E",,,,
,7,Pabuc Burnu,Some strakes,N,Y,Y,Y,Some parts recovered,-575,-550,,Turkey,36.976556,27.562942,,,,
,8,Cala Sant Vincenc,Keel and some strakes both sides. Floor timbers. Biggest ship of its type,N,Y,Y,Y,Buried with sand,-550,-500,Greek pottery,Spain," 39°55'19.18""N","  3° 3'27.56""E",,,,
,9,Bon Porte 1 ,Some floor timbers/ strakes and keel,N,Y,Y,Y,Buried with sand,-540,-510,Etruscan amphorae,France,"43°10'03.2""N ","6°38'49.2""E",,,,
,10,Jules Verne 7,Keel/ strakes both sides with three wales. Floor timbers no in situ. Stem. pM&T with lacing at extremities and in repairs ,N,Y,Y,Y,Recovered and conserved.,-525,-510,Harbor context ,France,"43°17'59.9""N","5°21'25.1""E",,,,
